Universidad,Facultad,Carrera,Link Carrera
UTN FRLP,FRLP,Ingeniería Mecánica,https://www.frlp.utn.edu.ar/carrera-mecanica
UTN FRLP,FRLP,Ingeniería Eléctrica,https://www.frlp.utn.edu.ar/carrera-electrica
UTN FRLP,FRLP,Ingeniería Industrial,https://www.frlp.utn.edu.ar/carrera-industrial
UTN FRLP,FRLP,Ingeniería Química,https://www.frlp.utn.edu.ar/carrera-quimica
UTN FRLP,FRLP,Ingeniería en Sistemas de Información,https://www.frlp.utn.edu.ar/carrera-sistemas
UTN FRLP,FRLP,Ingeniería Civil,https://www.frlp.utn.edu.ar/carrera-civil
